,biox001_seq,biox002_seq,biox003_seq,biox004_seq,biox005_seq,biox006_seq,biox007_seq,biox008_seq,biox009_seq,biox010_seq,biox011_seq,biox012_seq,biox013_seq,biox014_seq,biox015_seq,biox016_seq,biox017_seq,biox018_seq,biox031_seq,biox032_seq,biox033_seq,biox034_seq,biox035_seq,biox036_seq,biox050_seq,biox051_seq,biox052_seq,biox053_seq,biox054_seq,biox055_seq,biox056_seq,biox057_seq,biox058_seq,biox059_seq,biox060_seq,biox061_seq,biox062_seq,biox063_seq,biox064_seq,biox065_seq,biox066_seq,biox079_seq,biox080_seq,biox081_seq,biox082_seq,biox083_seq,biox084_seq,biox097_seq,biox098_seq,biox099_seq,biox100_seq,biox101_seq,biox102_seq,biox103_seq,biox104_seq,biox105_seq,biox106_seq,biox107_seq,biox108_seq,biox109_seq,biox110_seq,biox111_seq,biox112_seq,biox113_seq,biox114_seq,biox127_seq,biox128_seq,biox129_seq,biox130_seq,biox131_seq,biox132_seq
Holdemania_massiliensis,0,0,0,22,18,38,34,12,15,35,18,23,12,15,10,11,13,19,15,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bifidobacterium_adolescentis,0,0,0,1146,1298,1767,2294,966,1176,2593,1177,1565,904,1167,1418,1833,2197,2948,3094,2041,8368,14640,8368,9045,0,0,697,409,792,385,168,300,0,338,492,407,1109,329,491,1876,2775,294,456,9614,5608,8936,13298,0,0,0,1312,1212,1114,1795,980,1173,2551,1445,1261,1665,3253,2915,4036,5058,9293,3516,1898,4225,8769,6857,8659
Bifidobacterium_infantis,0,0,0,0,10,12,33,0,0,35,12,20,15,12,13,19,21,36,78,44,49,118,39,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,15,0,0,0,547,494,473,734,422,465,1054,574,520,670,1434,1288,1698,1649,3455,1496,751,1967,3951,2616,4281
Bifidobacterium_catenulatum,0,0,0,17,29,33,31,16,21,32,14,20,13,16,22,19,36,52,54,28,133,245,144,154,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,18,23,0,0,99,35,94,119,0,0,0,215,166,144,268,155,163,349,206,189,182,443,266,440,273,536,257,183,424,1136,1286,1387
Bifidobacterium_pseudocatenulatum,0,0,0,0,0,0,13,0,0,12,0,0,0,0,0,15,0,10,16,0,53,75,43,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,10,0,0,47,21,50,65,0,0,12,3181,2467,2481,4139,2399,2634,5597,3271,3088,2993,6933,4886,6688,4226,8161,4333,3076,7216,19210,21988,21023
Eggerthella_lenta,0,0,0,464,540,730,990,367,499,1173,442,592,344,373,262,340,186,294,361,266,96,188,48,51,0,0,26,12,25,14,0,12,0,25,15,17,28,0,15,0,0,0,0,0,0,0,0,0,0,0,65,57,49,111,36,50,133,55,57,68,140,97,107,49,79,54,29,24,36,0,18
Eggerthella_sp014287365,0,0,0,0,0,15,14,0,0,13,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,11,0,0,0,0,13,0,0,0,17,10,18
Adlercreutzia_celatus_A,0,0,0,78,97,140,197,69,135,198,111,140,56,71,43,90,71,92,90,52,88,116,48,56,0,0,30,32,50,44,24,42,0,28,27,14,69,15,19,22,17,15,0,0,0,0,0,0,0,0,142,173,127,233,123,160,289,174,149,216,369,269,316,115,224,220,102,53,49,34,38
MGYG000002712,0,0,0,21,28,38,56,21,26,68,23,30,19,26,20,23,21,16,27,20,12,36,17,17,0,0,21,0,18,12,0,12,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,69,76,49,98,50,56,137,74,62,60,164,97,159,58,107,100,41,19,18,16,29
Gordonibacter_pamelaeae,0,0,0,43,38,69,86,30,39,83,36,36,21,27,21,36,25,17,21,22,16,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,15,22,31,10,30,39,22,28,30,55,34,44,15,35,22,11,0,17,10,11
Gordonibacter_sp003339845,0,0,0,0,0,0,10,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ellagibacter_sp900554945,0,0,0,0,17,10,17,0,0,21,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGYG000002754,0,0,0,0,0,0,19,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,0,0
Collinsella_sp900759335,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parasutterella_sp009767915,0,0,0,962,880,1252,1569,613,835,1682,769,1062,633,781,601,786,520,565,804,552,84,162,22,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parasutterella_excrementihominis,0,0,0,0,29,23,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,56,61,82,30,74,0,71,51,56,113,48,59,47,52,28,55,24,11,0,0,0,0,0,168,101,134,211,155,122,333,191,140,102,309,157,232,94,141,83,94,45,81,15,54
Mesosutterella_multiformis,0,0,0,190,205,345,487,175,228,479,203,262,177,230,182,257,241,507,326,211,256,532,96,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mesosutterella_massiliensis,0,0,0,0,0,10,13,0,0,12,0,10,0,16,0,10,10,17,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Escherichia_coli_D,0,0,0,1015,926,1269,1438,715,806,1488,801,1041,756,1049,578,842,599,526,786,670,274,376,285,280,31,44,5022,2973,2638,5568,1787,3453,64,3326,2544,3075,5568,2598,2057,4079,3798,1303,2211,3978,2562,1861,2154,31,15,15,16950,10758,13247,16427,12635,12970,27916,16448,13352,9696,27623,14003,20339,4289,6888,3918,6128,1932,3354,3209,5874
Escherichia_fergusonii,0,0,0,31,21,32,40,22,29,43,35,35,24,31,0,25,15,25,29,16,0,0,0,0,0,0,261,140,144,273,85,187,0,179,119,151,315,104,95,188,148,60,96,208,139,73,83,0,0,0,655,480,540,762,595,556,1136,636,560,429,1164,582,786,180,252,181,255,61,117,121,244
Escherichia_albertii,0,0,0,19,15,25,18,15,15,18,11,15,0,17,13,16,12,0,13,0,0,0,0,0,0,0,60,32,38,73,17,31,0,27,24,55,73,30,23,58,47,27,34,56,31,22,31,0,0,0,413,259,285,346,290,288,703,416,320,235,636,326,480,96,154,100,129,42,76,59,111
Escherichia_sp000208585,0,0,0,11,0,10,10,0,11,21,0,12,10,13,0,0,0,12,0,0,0,0,0,0,0,0,91,61,49,86,33,57,0,49,32,36,90,36,32,63,53,12,33,75,30,51,42,0,0,0,191,143,179,209,175,133,315,169,178,136,328,191,220,46,84,41,67,20,32,38,87
Escherichia_marmotae,0,0,0,0,0,0,10,0,0,22,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,20,13,32,10,23,0,0,0,13,28,14,0,26,19,0,20,23,17,17,11,0,0,0,112,75,104,128,112,84,244,127,102,76,199,91,159,29,48,22,46,17,25,23,42
CAG.495_sp900540425,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,11,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dialister_invisus,0,0,0,347,279,444,552,280,347,660,297,425,256,302,247,315,282,453,385,249,20,21,12,16,0,0,263,216,151,433,151,239,0,236,141,249,468,217,161,201,187,131,190,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bilophila_wadsworthia,0,0,0,63,59,85,147,64,62,159,61,89,50,57,45,66,51,69,64,40,40,69,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,51,34,36,30,43,63,34,29,42,74,45,75,27,62,28,25,13,29,0,0
Akkermansia_muciniphila_A,0,0,0,45,40,51,91,36,52,97,41,48,34,21,20,26,0,0,45,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agathobacter_faecis,0,0,0,13,0,13,0,0,0,19,0,0,11,16,0,0,0,0,0,0,59,157,67,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,61,91,105,123,139,255,161,115,66,262,112,334,101,145,53,97,150,344,142,236
Streptococcus_thermophilus,0,0,0,0,0,0,0,0,0,10,0,0,0,0,19,21,78,112,32,20,176,535,136,190,0,0,0,0,0,24,0,0,0,0,0,18,24,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Streptococcus_pasteurianus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,62,79,0,13,124,318,100,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus_equinus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,30,48,11,0,61,201,69,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Longicatena_caecimuris,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraprevotella_xylaniphila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,10,11,17,13,0,19,12,20,0,25,16,30,19,33,0,11,0,0,0,0
Paraprevotella_sp900760455,0,0,0,0,0,11,0,0,0,13,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,13,13,13,0,10,17,16,23,10,27,25,51,23,29,12,12,12,28,0,0
Blautia_A_sp003471165,0,0,0,19,0,17,0,0,0,17,0,19,0,33,0,0,49,62,36,35,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,19,0,16,28,41,17,14,30,0,0,0
Blautia_A_sp900066145,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,22,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,32,25,27,29,61,22,29,17,65,35,70,28,44,34,48,0,13,0,15
Fusicatenibacter_saccharivorans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,29,0,0,25,52,24,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,157,163,261,244,220,482,224,283,179,530,312,527,429,377,167,288,245,484,41,87
TF01.11_sp000436755,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,13,19,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,19,17,39,46,27,83,42,32,26,77,32,75,89,98,15,36,78,172,0,0
OF09.33XD_sp003481995,0,0,0,0,0,11,0,0,0,11,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,11,0,0,19,13,18,0,11,0,0,11,0,0,0
UBA4871_sp900554535,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HGM11372_sp900767715,0,0,0,0,0,11,0,0,12,19,10,11,0,0,0,11,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroides_acidifaciens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,12,17,0,0,0,0,0,0,0,0,0,0,0,0,0,29,20,33,34,23,19,48,33,25,14,64,31,50,20,47,0,15,19,67,0,12
Faecalibacillus_sp900544435,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,10,0,0,0,0,0,0,0,0,0,0
Blautia_A_luti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,14,20,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,18,0,13,15,0,0,0
Blautia_A_sp900066335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,18,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,16,0,21,19,22,46,23,28,0,56,28,46,26,26,17,31,33,42,0,0
Collinsella_sp900555955,0,0,0,0,0,0,0,0,0,20,0,18,0,0,0,0,16,19,21,0,32,83,46,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,28,0,0,39,28,26,64,0,0,0,0,0,0,45,59,0,80,0,0,0,66,0,107,49,88,0,44,38,75,20,65
Blautia_A_obeum_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabonibacter_massiliensis,0,0,0,0,0,0,0,0,0,19,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blautia_A_sp900541985,0,0,0,0,0,0,0,0,0,11,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enterocloster_sp000431375,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,18,34,36,27,23,81,29,20,0,58,25,39,0,18,0,0,0,0,0,0
Ruminococcus_B_sp900544395,0,0,0,10,0,0,0,0,0,18,0,12,0,10,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lachnospira_eligens_A,0,0,0,0,0,0,0,0,0,0,0,0,0,19,15,0,29,43,0,0,15,87,14,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0
CAG.41_sp900066215,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,14,0,0,23,14,26,12,14,0,14,0,16,0,0
Prevotellamassilia_sp900772575,0,0,0,11,0,0,0,0,11,10,0,0,0,0,11,12,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSJ.61_sp003433845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,19,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bifidobacterium_bifidum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,30,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,11,34,34,0,0,0,25,23,30,38,21,20,54,29,32,40,75,68,76,89,205,77,34,90,186,126,153
Dielma_fastidiosa,0,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enterocloster_asparagiformis,0,0,0,11,0,0,0,0,10,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raoultibacter_timonensis,0,0,0,0,0,11,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus_alactolyticus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,22,0,0,35,93,24,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus_parasanguinis_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,29,0,15,0,0,0,0,0,0
Lactococcus_A_raffinolactis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,23,69,21,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lactobacillus_mulieris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bifidobacterium_angulatum,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,29,76,34,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,12,24,51,0,0,0,10,11,16,22,19,13,28,31,16,20,35,30,39,45,65,30,24,47,137,106,125
Mediterraneibacter_lactaris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,199,55,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,12,14,32,0,11,0,21,16,36,0,11,0,0,11,14,0,0
MGYG000004680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lactobacillus_delbrueckii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bifidobacterium_sp002742445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,36,57,26,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,26,34,51,0,0,0,68,64,54,96,66,76,166,73,88,68,227,113,186,145,239,123,82,193,583,612,657
Bifidobacterium_pullorum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,20,14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,16,0,0,0,27,14,18
Bifidobacterium_dentium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,15,11,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,27
Senegalimassilia_sp900550055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,24,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,14,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,19,13,32,11,0,16,38,27,43
Collinsella_sp900555765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,22,37,26,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,13,13,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,19
CAG.115_sp003531585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,167,69,241,193,194,371,221,145,140,372,31,17,0,0,0,0,0,0,0,0
Blautia_A_sp900763175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
Blautia_A_sp003474435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,19,18,0,0,0,25,0,21,0,22,32,0,0,0,0,25,76,0,0,0,0,0,0,0,0,0,0,16,0,0,31,28,19,0,45,18,52,19,28,0,0,0,23,0,0
Blautia_A_sp000436615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,35,59,74,90,86,194,102,103,72,183,130,174,118,157,57,78,66,153,25,55
Blautia_A_sp900551715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blautia_A_sp900120195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blautia_A_caecimuris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dorea_A_longicatena_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,42,122,128,59,125,232,100,123,49,202,67,153,86,162,33,58,91,191,0,0
Dorea_A_sp900550865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13,17,0,0,19,0,0,0,16,0,0,0,10,0,0,0,0,0,0
Blautia_sp003287895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blautia_sp900753905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eubacterium_I_ramulus_A,0,0,0,11,0,0,0,0,0,20,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGYG000003578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Schaedlerella_sp900066545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
